task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	fe/eb2a77	39936	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:11.103	715ms	26ms	85.7%	2.9 MB	3.9 MB	194.4 KB	647 B
81	99/3cea93	40191	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:11.821	755ms	121ms	100.0%	11.9 MB	26.4 MB	10.6 MB	747 B
82	ed/a2af5c	40440	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:12.581	975ms	376ms	100.0%	12.1 MB	27.9 MB	10.6 MB	36.8 KB
79	3f/0f4fa5	40686	BAM_CLEAN:BAM_FILTER (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:13.564	2.8s	2s	135.6%	17.6 MB	35.4 MB	19.8 MB	18.1 MB
83	f1/11b979	41057	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:16.340	774ms	24ms	85.7%	2.9 MB	3.9 MB	194.5 KB	648 B
85	30/27e969	41308	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:17.119	698ms	109ms	100.0%	11.9 MB	26.4 MB	10.6 MB	747 B
84	23/a4aab4	41551	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:17.819	1s	389ms	101.3%	12.4 MB	27.9 MB	10.6 MB	36.9 KB
86	ae/0bab0b	41803	BAM_CLEAN:BAM_FILTER (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:18.842	2.7s	2s	136.5%	17.8 MB	35.4 MB	19.4 MB	17.5 MB
88	b3/8e0230	42175	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:21.583	1.1s	380ms	98.7%	12.3 MB	27.9 MB	8.7 MB	59.6 KB
89	2f/028780	42421	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:22.677	655ms	23ms	66.7%	2.8 MB	3.9 MB	193.8 KB	656 B
